datetime,sigma0_39_15_2022,lia_39_15_2022,sigma0_39_168_2022,lia_39_168_2022,sigma0_39_117_2022,lia_39_117_2022,sigma0_39_66_2022,lia_39_66_2022,afternoon_ascending_sigma0,morning_descending_sigma0,afternoon_ascending_lia,morning_descending_lia
2022-12-10 05:30:00,,,-10.866258533507915,42.03083419799805,,,,,,-10.866258533507915,,42.0
2022-12-11 17:30:00,-11.189213948034034,40.7368049621582,,,,,,,-11.189213948034034,,41.0,
2022-12-15 05:30:00,,,,,,,-10.26517424255535,32.83208084106445,,-10.26517424255535,,33.0
2022-12-18 17:30:00,,,,,-8.89985552011355,31.70594024658203,,,-8.89985552011355,,32.0,
2022-12-22 05:30:00,,,-11.037427415606412,42.038082122802734,,,,,,-11.037427415606412,,42.0
2022-12-23 17:30:00,-12.237339924120327,40.73371124267578,,,,,,,-12.237339924120327,,41.0,
2022-12-27 05:30:00,,,,,,,-9.463761085713928,32.828556060791016,,-9.463761085713928,,33.0
2022-12-30 17:30:00,,,,,-9.403934754031916,31.713533401489254,,,-9.403934754031916,,32.0,
2023-01-03 05:30:00,,,-10.78047250093856,42.03753662109375,,,,,,-10.78047250093856,,42.0
2023-01-04 17:30:00,-10.348242581529313,40.73193740844727,,,,,,,-10.348242581529313,,41.0,
2023-01-08 05:30:00,,,,,,,-9.908829042078072,32.82574844360352,,-9.908829042078072,,33.0
2023-01-11 17:30:00,,,,,-10.376849438174496,31.69955825805664,,,-10.376849438174496,,32.0,
2023-01-15 05:30:00,,,-10.255075596119756,42.04658508300781,,,,,,-10.255075596119756,,42.0
2023-01-16 17:30:00,-9.96884663528244,40.73506164550781,,,,,,,-9.96884663528244,,41.0,
2023-01-20 05:30:00,,,,,,,-10.666703244693414,32.83295822143555,,-10.666703244693414,,33.0
2023-01-23 17:30:00,,,,,-10.932944847938456,31.7126522064209,,,-10.932944847938456,,32.0,
2023-01-27 05:30:00,,,-10.31230357207196,42.03546905517578,,,,,,-10.31230357207196,,42.0
2023-01-28 17:30:00,-10.8122562471541,40.74470520019531,,,,,,,-10.8122562471541,,41.0,
2023-02-01 05:30:00,,,,,,,-9.859507544422216,32.82747268676758,,-9.859507544422216,,33.0
2023-02-04 17:30:00,,,,,-10.528361024349246,31.70531463623047,,,-10.528361024349246,,32.0,
2023-02-08 05:30:00,,,-10.859643049093542,42.04145431518555,,,,,,-10.859643049093542,,42.0
2023-02-09 17:30:00,-10.337570688754615,40.73477554321289,,,,,,,-10.337570688754615,,41.0,
2023-02-13 05:30:00,,,,,,,-9.867966631540826,32.833621978759766,,-9.867966631540826,,33.0
2023-02-16 17:30:00,,,,,-10.700511235701908,31.702539443969727,,,-10.700511235701908,,32.0,
2023-02-20 05:30:00,,,-10.484242841367315,42.03852462768555,,,,,,-10.484242841367315,,42.0
2023-02-21 17:30:00,-11.248307998559271,40.72975540161133,,,,,,,-11.248307998559271,,41.0,
2023-02-25 05:30:00,,,,,,,-8.844248023241484,32.83281707763672,,-8.844248023241484,,33.0
2023-02-28 17:30:00,,,,,-10.39396402730398,31.716041564941406,,,-10.39396402730398,,32.0,
2023-03-04 05:30:00,,,-9.521789113164129,42.03411483764648,,,,,,-9.521789113164129,,42.0
2023-03-05 17:30:00,-10.789126132846713,40.73784637451172,,,,,,,-10.789126132846713,,41.0,
2023-03-09 05:30:00,,,,,,,-8.659331437172186,32.83180236816406,,-8.659331437172186,,33.0
2023-03-12 17:30:00,,,,,-10.6466145430025,31.713104248046875,,,-10.6466145430025,,32.0,
2023-03-16 05:30:00,,,-10.247269765764592,42.05236053466797,,,,,,-10.247269765764592,,42.0
2023-03-17 17:30:00,-11.637324695047012,40.73155212402344,,,,,,,-11.637324695047012,,41.0,
2023-03-21 05:30:00,,,,,,,-9.439482636649418,32.82783126831055,,-9.439482636649418,,33.0
2023-03-24 17:30:00,,,,,-11.47271596574928,31.711671829223636,,,-11.47271596574928,,32.0,
2023-03-28 05:30:00,,,-11.917285510951546,42.04408645629883,,,,,,-11.917285510951546,,42.0
2023-03-29 17:30:00,-10.419253498085732,40.7357063293457,,,,,,,-10.419253498085732,,41.0,
2023-04-02 05:30:00,,,,,,,-9.876261866729068,32.82719421386719,,-9.876261866729068,,33.0
2023-04-05 17:30:00,,,,,-10.239055430451051,31.70225715637207,,,-10.239055430451051,,32.0,
2023-04-09 05:30:00,,,-10.450320043376294,42.03556060791016,,,,,,-10.450320043376294,,42.0
2023-04-10 17:30:00,-10.999635293206907,40.74186325073242,,,,,,,-10.999635293206907,,41.0,
2023-04-14 05:30:00,,,,,,,-7.552657912458293,32.83169937133789,,-7.552657912458293,,33.0
2023-04-17 17:30:00,,,,,-11.159365097835444,31.708606719970703,,,-11.159365097835444,,32.0,
2023-04-21 05:30:00,,,-12.076291329813904,42.04151153564453,,,,,,-12.076291329813904,,42.0
2023-04-22 17:30:00,-16.337454969291965,40.73907470703125,,,,,,,-16.337454969291965,,41.0,
2023-04-26 05:30:00,,,,,,,-13.161063835568296,32.83158493041992,,-13.161063835568296,,33.0
2023-04-29 17:30:00,,,,,-14.59865773744668,31.71906852722168,,,-14.59865773744668,,32.0,
2023-05-03 05:30:00,,,-19.982394459932603,42.03682708740234,,,,,,-19.982394459932603,,42.0
2023-05-04 17:30:00,-17.52520017998377,40.73773956298828,,,,,,,-17.52520017998377,,41.0,
2023-05-08 05:30:00,,,,,,,-18.276562560064388,32.82372283935547,,-18.276562560064388,,33.0
2023-05-11 17:30:00,,,,,-13.38434370614645,31.71571159362793,,,-13.38434370614645,,32.0,
2023-05-15 05:30:00,,,-19.664348840758294,42.03604507446289,,,,,,-19.664348840758294,,42.0
2023-05-16 17:30:00,-18.65288798067352,40.74190521240234,,,,,,,-18.65288798067352,,41.0,
2023-05-20 05:30:00,,,,,,,-15.39787633568107,32.844844818115234,,-15.39787633568107,,33.0
2023-05-23 17:30:00,,,,,-11.239376855018053,31.70808219909668,,,-11.239376855018053,,32.0,
2023-05-27 05:30:00,,,-17.83648245255201,42.03886032104492,,,,,,-17.83648245255201,,42.0
2023-05-28 17:30:00,-14.56011666606852,40.74607849121094,,,,,,,-14.56011666606852,,41.0,
2023-06-01 05:30:00,,,,,,,-15.12995727911546,32.82547378540039,,-15.12995727911546,,33.0
2023-06-04 17:30:00,,,,,-9.86241645114542,31.70743179321289,,,-9.86241645114542,,32.0,
2023-06-08 05:30:00,,,-13.767394074021182,42.04760360717773,,,,,,-13.767394074021182,,42.0
2023-06-09 17:30:00,-10.83355252889967,40.73974609375,,,,,,,-10.83355252889967,,41.0,
2023-06-13 05:30:00,,,,,,,-10.551257470442144,32.828155517578125,,-10.551257470442144,,33.0
2023-06-16 17:30:00,,,,,-9.199989980042654,31.7100772857666,,,-9.199989980042654,,32.0,
2023-06-20 05:30:00,,,-9.48425081541918,42.040077209472656,,,,,,-9.48425081541918,,42.0
2023-06-21 17:30:00,-9.136914471275247,40.73357391357422,,,,,,,-9.136914471275247,,41.0,
2023-06-25 05:30:00,,,,,,,-9.124466039574116,32.82814407348633,,-9.124466039574116,,33.0
2023-06-28 17:30:00,,,,,-8.592028780295246,31.700828552246094,,,-8.592028780295246,,32.0,
2023-07-02 05:30:00,,,-9.028867809732038,42.037052154541016,,,,,,-9.028867809732038,,42.0
2023-07-03 17:30:00,-8.992303804492781,40.73932266235352,,,,,,,-8.992303804492781,,41.0,
2023-07-07 05:30:00,,,,,,,-7.858882147816956,32.828365325927734,,-7.858882147816956,,33.0
2023-07-10 17:30:00,,,,,-8.875585995298431,31.7207145690918,,,-8.875585995298431,,32.0,
2023-07-14 05:30:00,,,-9.0433799153342,42.036399841308594,,,,,,-9.0433799153342,,42.0
2023-07-15 17:30:00,-9.50617441757192,40.74692916870117,,,,,,,-9.50617441757192,,41.0,
2023-07-19 05:30:00,,,,,,,-9.080164990216543,32.830379486083984,,-9.080164990216543,,33.0
2023-07-22 17:30:00,,,,,-6.991136853038057,31.71352195739746,,,-6.991136853038057,,32.0,
2023-07-26 05:30:00,,,-10.23706940869433,42.03913497924805,,,,,,-10.23706940869433,,42.0
2023-07-27 17:30:00,-8.908894204899342,40.747657775878906,,,,,,,-8.908894204899342,,41.0,
2023-07-31 05:30:00,,,,,,,-9.09422193992626,32.82792282104492,,-9.09422193992626,,33.0
2023-08-03 17:30:00,,,,,-8.218573689637656,31.7205753326416,,,-8.218573689637656,,32.0,
2023-08-07 05:30:00,,,-10.516642850956451,42.04310607910156,,,,,,-10.516642850956451,,42.0
2023-08-08 17:30:00,-8.49504267400815,40.7394905090332,,,,,,,-8.49504267400815,,41.0,
2023-08-12 05:30:00,,,,,,,-9.098338488890963,32.839630126953125,,-9.098338488890963,,33.0
2023-08-15 17:30:00,,,,,-7.965912969471688,31.707746505737305,,,-7.965912969471688,,32.0,
2023-08-19 05:30:00,,,-9.83408959433605,42.03660202026367,,,,,,-9.83408959433605,,42.0
2023-08-20 17:30:00,-10.49469861815844,40.74552536010742,,,,,,,-10.49469861815844,,41.0,
2023-08-24 05:30:00,,,,,,,-10.136299120263692,32.83385467529297,,-10.136299120263692,,33.0
2023-08-27 17:30:00,,,,,-7.641701978715406,31.71881103515625,,,-7.641701978715406,,32.0,
2023-08-31 05:30:00,,,-9.510599914735312,42.03734588623047,,,,,,-9.510599914735312,,42.0
2023-09-01 17:30:00,-9.830864111531362,40.741119384765625,,,,,,,-9.830864111531362,,41.0,
2023-09-05 05:30:00,,,,,,,-10.150703434045646,32.82917022705078,,-10.150703434045646,,33.0
2023-09-08 17:30:00,,,,,-9.129769226846507,31.722244262695312,,,-9.129769226846507,,32.0,
2023-09-12 05:30:00,,,-10.36641970395536,42.03969192504883,,,,,,-10.36641970395536,,42.0
2023-09-13 17:30:00,-9.39933201808168,40.73643493652344,,,,,,,-9.39933201808168,,41.0,
2023-09-17 05:30:00,,,,,,,-9.018173929643122,32.8234748840332,,-9.018173929643122,,33.0
2023-09-20 17:30:00,,,,,-7.434427139870011,31.71430015563965,,,-7.434427139870011,,32.0,
2023-09-24 05:30:00,,,-10.204570362483237,42.03649520874024,,,,,,-10.204570362483237,,42.0
2023-09-25 17:30:00,-8.744404255749831,40.74580001831055,,,,,,,-8.744404255749831,,41.0,
2023-09-29 05:30:00,,,,,,,-9.369133563282787,32.825096130371094,,-9.369133563282787,,33.0
