datetime,sigma0_39_15_2022,lia_39_15_2022,sigma0_39_168_2022,lia_39_168_2022,sigma0_39_117_2022,lia_39_117_2022,sigma0_39_66_2022,lia_39_66_2022,afternoon_ascending_sigma0,morning_descending_sigma0,afternoon_ascending_lia,morning_descending_lia
2022-10-04 05:30:00,,,,,,,-9.11918315442762,32.833343505859375,,-9.11918315442762,,33.0
2022-10-07 17:30:00,,,,,-7.007512742515262,31.705324172973636,,,-7.007512742515262,,32.0,
2022-10-11 05:30:00,,,-9.304828610844858,42.04030227661133,,,,,,-9.304828610844858,,42.0
2022-10-12 17:30:00,-9.149083710979609,40.73495101928711,,,,,,,-9.149083710979609,,41.0,
2022-10-16 05:30:00,,,,,,,-8.495301028793921,32.83087539672852,,-8.495301028793921,,33.0
2022-10-19 17:30:00,,,,,-6.445447197186236,31.70736122131348,,,-6.445447197186236,,32.0,
2022-10-23 05:30:00,,,-11.203608897257231,42.03756332397461,,,,,,-11.203608897257231,,42.0
2022-10-24 17:30:00,-8.257691367635255,40.73703002929688,,,,,,,-8.257691367635255,,41.0,
2022-10-28 05:30:00,,,,,,,-9.31786916259704,32.821956634521484,,-9.31786916259704,,33.0
2022-10-31 17:30:00,,,,,-6.565739843420568,31.713991165161133,,,-6.565739843420568,,32.0,
2022-11-04 05:30:00,,,-9.86491819815106,42.04495620727539,,,,,,-9.86491819815106,,42.0
2022-11-05 17:30:00,-10.732170907493984,40.73747253417969,,,,,,,-10.732170907493984,,41.0,
2022-11-09 05:30:00,,,,,,,-11.048586568638612,32.83131790161133,,-11.048586568638612,,33.0
2022-11-12 17:30:00,,,,,-7.448179303742558,31.705575942993164,,,-7.448179303742558,,32.0,
2022-11-16 05:30:00,,,-11.453018302202349,42.04252243041992,,,,,,-11.453018302202349,,42.0
2022-11-17 17:30:00,-11.913353270206606,40.738311767578125,,,,,,,-11.913353270206606,,41.0,
2022-11-21 05:30:00,,,,,,,-10.907185948019483,32.82256317138672,,-10.907185948019483,,33.0
2022-11-24 17:30:00,,,,,-8.693262437802607,31.71145820617676,,,-8.693262437802607,,32.0,
2022-11-28 05:30:00,,,-9.41401282065456,42.0335693359375,,,,,,-9.41401282065456,,42.0
2022-11-29 17:30:00,-11.356306671700668,40.73986053466797,,,,,,,-11.356306671700668,,41.0,
2022-12-03 05:30:00,,,,,,,-9.748593162974776,32.829708099365234,,-9.748593162974776,,33.0
2022-12-06 17:30:00,,,,,-9.984060525430712,31.705049514770508,,,-9.984060525430712,,32.0,
