datetime,sigma0_39_168_2023,lia_39_168_2023,sigma0_39_66_2023,lia_39_66_2023,sigma0_39_15_2023,lia_39_15_2023,sigma0_39_117_2023,lia_39_117_2023,afternoon_ascending_sigma0,morning_descending_sigma0,afternoon_ascending_lia,morning_descending_lia
2023-12-13 17:30:00,,,,,,,-7.607632752775935,31.708276748657227,-7.607632752775935,,32.0,
2023-12-17 05:30:00,-10.681519676627074,42.03557586669922,,,,,,,,-10.681519676627074,,42.0
2023-12-18 17:30:00,,,,,-10.00145835097934,40.73837661743164,,,-10.00145835097934,,41.0,
2023-12-22 05:30:00,,,-11.036409540144328,32.83551025390625,,,,,,-11.036409540144328,,33.0
2023-12-25 17:30:00,,,,,,,-8.457008513430766,31.69951057434082,-8.457008513430766,,32.0,
2023-12-29 05:30:00,-10.67466206726489,42.03570556640625,,,,,,,,-10.67466206726489,,42.0
2023-12-30 17:30:00,,,,,-10.334284558754504,40.735939025878906,,,-10.334284558754504,,41.0,
2024-01-03 05:30:00,,,-9.53220354871928,32.83352279663086,,,,,,-9.53220354871928,,33.0
2024-01-06 17:30:00,,,,,,,-8.737737481287818,31.71087646484375,-8.737737481287818,,32.0,
2024-01-10 05:30:00,-9.668463193085447,42.037742614746094,,,,,,,,-9.668463193085447,,42.0
2024-01-11 17:30:00,,,,,-10.706775779853988,40.7283821105957,,,-10.706775779853988,,41.0,
2024-01-15 05:30:00,,,-9.368685868132667,32.83127212524414,,,,,,-9.368685868132667,,33.0
2024-01-18 17:30:00,,,,,,,-9.5365664395513,31.711124420166016,-9.5365664395513,,32.0,
2024-01-22 05:30:00,-10.408939694052634,42.03772735595703,,,,,,,,-10.408939694052634,,42.0
2024-01-23 17:30:00,,,,,-10.5876275923601,40.73273086547852,,,-10.5876275923601,,41.0,
2024-01-27 05:30:00,,,-9.27172970396966,32.82429885864258,,,,,,-9.27172970396966,,33.0
2024-01-30 17:30:00,,,,,,,-9.029608431005174,31.71699905395508,-9.029608431005174,,32.0,
2024-02-03 05:30:00,-10.757206333330524,42.04291915893555,,,,,,,,-10.757206333330524,,42.0
2024-02-04 17:30:00,,,,,-10.429980511072774,40.73529815673828,,,-10.429980511072774,,41.0,
2024-02-08 05:30:00,,,-9.07369140203298,32.82659912109375,,,,,,-9.07369140203298,,33.0
2024-02-11 17:30:00,,,,,,,-6.813381931421061,31.709623336791992,-6.813381931421061,,32.0,
2024-02-15 05:30:00,-10.343264705648208,42.04121017456055,,,,,,,,-10.343264705648208,,42.0
2024-02-16 17:30:00,,,,,-11.34912995547323,40.73967742919922,,,-11.34912995547323,,41.0,
2024-02-20 05:30:00,,,-9.28752992395568,32.82969284057617,,,,,,-9.28752992395568,,33.0
2024-02-23 17:30:00,,,,,,,-6.502674215706517,31.711524963378903,-6.502674215706517,,32.0,
2024-02-27 05:30:00,-10.38066339962555,42.03878021240234,,,,,,,,-10.38066339962555,,42.0
2024-02-28 17:30:00,,,,,-10.977694470966895,40.74653244018555,,,-10.977694470966895,,41.0,
2024-03-03 05:30:00,,,-9.934411495393617,32.83262252807617,,,,,,-9.934411495393617,,33.0
2024-03-06 17:30:00,,,,,,,-6.80347843988148,31.714235305786133,-6.80347843988148,,32.0,
2024-03-10 05:30:00,-10.553734630552997,42.04025268554688,,,,,,,,-10.553734630552997,,42.0
2024-03-11 17:30:00,,,,,-9.597976368704929,40.74380874633789,,,-9.597976368704929,,41.0,
2024-03-15 05:30:00,,,-8.875252965908482,32.83727264404297,,,,,,-8.875252965908482,,33.0
